From	Entry	Entry Name	Protein names	Gene Names	Gene Names (synonym)	PubMed ID
Q0P7H3	Q0P7H3	Q0P7H3_DANRE	Alpha 2,8-sialyltransferase ST8Sia V (Alpha-2,8-sialyltransferase 8E isoform 1) (ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5)	siat 8E st8Sia V st8sia5	st8Sia V	15843597; 18811928; 18704683; 18642128; 22352757; 23594743; 26469318; 27189481; 30405127; 30709055
Q0P470	Q0P470	Q0P470_DANRE	deleted			
B8A478	B8A478	B8A478_DANRE	deleted			
Q56A35	Q56A35	ARP2B_DANRE	Actin-related protein 2-B (Actin-like protein 2-B)	actr2b arp2b si:dkey-66m17.2 zgc:110550	arp2b	23594743
E7EZD3	E7EZD3	E7EZD3_DANRE	deleted			
A5PMM9	Q6NWE1	PHF10_DANRE	PHD finger protein 10	phf10 si:dkey-66m17.1		15520368; 23594743
Q6NWE1	Q6NWE1	PHF10_DANRE	PHD finger protein 10	phf10 si:dkey-66m17.1		15520368; 23594743
Q6TGV9	Q6NWE1	PHF10_DANRE	PHD finger protein 10	phf10 si:dkey-66m17.1		15520368; 23594743
Q8JGW0	Q8JGW0	TSP4B_DANRE	Thrombospondin-4-B (Thbs4-B)	thbs4b thbs4 tsp4	thbs4 tsp4	12592708
Q90XH2	Q90XH2	Q90XH2_DANRE	Homeobox protein Meis1 (Meis homeobox 1 b) (Myeloid ecotropic viral integration 1) (Transcription factor Meis1.1)	meis1 cb224 id:ibd5078 meis1.1 wu:fb38b03 wu:fc02e11 wu:fd12a02 meis1b	cb224 id:ibd5078 meis1.1 wu:fb38b03 wu:fc02e11 wu:fd12a02	11684652; 11731487; 16109975; 16888233; 16885356; 16934393; 23594743; 27381023; 27376691; 27929112; 27940156; 28878000
Q1L8P2	Q1L8P2	Q1L8P2_DANRE	Synaptotagmin-like 1 (Synaptotagmin-like protein 1)	si:dkey-228a15.3 zgc:152940 sytl1	zgc:152940	12618376; 21873635; 23594743; 26469318
E9QBG4	E9QBG4	E9QBG4_DANRE	deleted			
F1R1N9	F1R1N9	F1R1N9_DANRE	CD2-associated protein	cd2apl fj51c01 im:7153970 si:ch211-207n9.1 wu:fj51c01 zgc:103705 cd2ap	fj51c01 im:7153970 si:ch211-207n9.1 wu:fj51c01 zgc:103705	23594743; 26469318; 25962121; 27441654; 28228401
A0JMF1	A0JMF1	CTC1_DANRE	CST complex subunit CTC1 (Conserved telomere maintenance component 1)	ctc1 zgc:153125		
F1R1D2	F1R1D2	F1R1D2_DANRE	Ras homolog family member H (Rho-related GTP-binding protein RhoH)	rhoh		15894457; 23594743; 26469318
Q1LYL9	Q1LYL9	Q1LYL9_DANRE	deleted			
F1R1C3	A0A8M9Q4I8	A0A8M9Q4I8_DANRE	Cytoplasmic protein	Nck2 zgc:55283 nck2a	zgc:55283	23594743
A5D6R3	A5D6R3	PLD3A_DANRE	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3-A (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-3-A) (Phospholipase C-delta-3-A) (PLC-delta-3-A)	plcd3a zgc:158396		18722520
Q6NYG0	Q6NYG0	Q6NYG0_DANRE	Purine nucleoside phosphorylase (EC 2.4.2.1) (Inosine-guanosine phosphorylase)	np wu:fd51h11 zgc:77008 pnp5a	wu:fd51h11 zgc:77008	16109975; 20460180; 21052758; 23594743; 24636855; 26469318; 27189481; 28258112
Q6DC49	Q6DC49	Q6DC49_DANRE	Tubulin alpha chain	zgc:101117 tuba8l3a tuba8l3	tuba8l3a	17251491; 20692250; 21625562; 23594743; 26469318; 27189481; 28252024; 30924555; 31017557
F1R1A5	F1R1A5	F1R1A5_DANRE	UBX domain protein 11 (UBX domain-containing protein 11 isoform X1)	ubxn11		23594743
Q6DG26	Q6P3K3	FBX9_DANRE	F-box only protein 9	fbxo9 si:ch211-71k24.1		23594743
Q6P3K3	Q6P3K3	FBX9_DANRE	F-box only protein 9	fbxo9 si:ch211-71k24.1		23594743
A8E7Q8	A8E7Q8	A8E7Q8_DANRE	Sodium channel subunit beta-3	si:ch211-225p5.8		23594743; 27189481
B0V2X4	B0V2X4	B0V2X4_DANRE	deleted			
Q5VSJ4	Q5VSJ4	Q5VSJ4_DANRE	receptor protein-tyrosine kinase (EC 2.7.10.1)	fc51g03 si:dkey-23k6.1 wu:fc51g03 epha7	si:dkey-23k6.1 wu:fc51g03	8806819; 20809932; 23594743; 24422634; 27287807; 28252024; 29911973; 31042481
E9QB20	Q9DES8	Q9DES8_DANRE	Glycine receptor betaZ subunit (Glycine receptor, beta a) (Gylcine receptor, beta a precursor)	glyR beta [b]Z fj42f03 glrb glrb1 wu:fj42f03 glrba	[b]Z fj42f03 glrb glrb1 wu:fj42f03	15928085; 24027265; 23594743; 24029548; 25995451; 27189481; 28252024; 30323738; 31031593; 31048868
Q9DES8	Q9DES8	Q9DES8_DANRE	Glycine receptor betaZ subunit (Glycine receptor, beta a) (Gylcine receptor, beta a precursor)	glyR beta [b]Z fj42f03 glrb glrb1 wu:fj42f03 glrba	[b]Z fj42f03 glrb glrb1 wu:fj42f03	15928085; 24027265; 23594743; 24029548; 25995451; 27189481; 28252024; 30323738; 31031593; 31048868
A0A0R4I9E8	A0A0R4I9E8	A0A0R4I9E8_DANRE	Prolyl 3-hydroxylase 1	p3h1		23594743
Q1JPZ3	Q1JPZ3	SRC_DANRE	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	src		15815683; 23594743; 17293535
Q6EWH0	Q1JPZ3	SRC_DANRE	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	src		15815683; 23594743; 17293535
F1R0K2	F1R0K2	F1R0K2_DANRE	Si:zfos-2070c2.1 (Uncharacterized protein LOC368748 precursor)	si:busm1-160c18.6 si:dz160c18.6 si:zfos-2070c2.1 mhc2d8.37a2	si:dz160c18.6 si:zfos-2070c2.1	24279922; 23594743; 27189481
F1R0K1	F1R0K1	F1R0K1_DANRE	ETS domain-containing protein Elk-4 isoform 1 (ETS transcription factor ELK4)	TCF-1 tcf elk4	tcf	10637509; 18832752; 23830865; 23594743; 26469318
F1R0J8	F1R0J8	F1R0J8_DANRE	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-)	zgc:66110 zgc:85977 pdhx	zgc:85977	20828405; 23594743; 26469318; 28252024
A9JRP8	A9JRP8	A9JRP8_DANRE	Actin-related protein 2/3 complex subunit	zgc:86896		23594743
E7EXW7	E7EXW7	E7EXW7_DANRE	deleted			
B0S6I8	B0S6I8	B0S6I8_DANRE	Sp5 protein (Sp5 transcription factor a) (Transcription factor Sp5)	sp5 bts1 fc39b01 wu:fc39b01 sp5a	bts1 fc39b01 wu:fc39b01	12889061; 15797017; 19700616; 20423468; 20978132; 23594743; 24462977; 26469318; 27189481; 28837622; 30659200
Q1LWY8	Q1LWY8	Q1LWY8_DANRE	deleted			
F6P364	F6P364	F6P364_DANRE	deleted			
A7YYE1	Q6DC03	SZ12A_DANRE	Polycomb protein suz12-A (Suppressor of zeste 12 protein homolog A)	suz12a suz12 suz12l zgc:100863	suz12 suz12l	
Q6DC03	Q6DC03	SZ12A_DANRE	Polycomb protein suz12-A (Suppressor of zeste 12 protein homolog A)	suz12a suz12 suz12l zgc:100863	suz12 suz12l	
F1RAX0	F1RAX0	F1RAX0_DANRE	deleted			
F6N9H6	F6N9H6	F6N9H6_DANRE	deleted			
Q6NZ22	Q6NZ22	MET14_DANRE	N6-adenosine-methyltransferase non-catalytic subunit (Methyltransferase-like protein 14)	mettl14 zgc:77296		
E7EXE9	E7EXE9	E7EXE9_DANRE	E3 ubiquitin-protein ligase RBBP6 isoform 1 (EC 2.3.2.27) (Retinoblastoma-binding protein 6)	im:7158869 rbbp6l rbbp6	rbbp6l	15256591; 16109975; 23594743; 26469318; 27189481; 28385620
Q561S9	Q561S9	Q561S9_DANRE	Histone H2A	H2A mid1ip1 si:ch211-113a14.7 si:dkey-108k21.15 si:dkey-108k21.19 si:dkey-261m9.18 si:dkey-261m9.7 zgc:110434 hist1h2a3 zgc:173652	mid1ip1 si:ch211-113a14.7 si:dkey-108k21.15 si:dkey-108k21.19 si:dkey-261m9.18 si:dkey-261m9.7 zgc:110434	23594743; 27615797; 28252024; 31336107
B7ZV62	B7ZV62	B7ZV62_DANRE	Vesicle-fusing ATPase (EC 3.6.4.6)	nsf si:bz18k17.1 wu:fj33g11 nsfa	si:bz18k17.1 wu:fj33g11	16581508; 16875686; 17606911; 19549326; 19366675; 23594743; 26618645; 27605615; 27902705; 28252024; 29066856
A3KNH7	A3KNH7	A3KNH7_DANRE	Nuclear transcription factor Y subunit	fb16e03 ik:tdsubc_2b6 tdsubc_2b6 wu:fb16e03 xx:tdsubc_2b6 nfya	ik:tdsubc_2b6 tdsubc_2b6 wu:fb16e03 xx:tdsubc_2b6	15520368; 19442608; 21729876; 23594743; 27189481; 27544571
B8A5K8	B8A5K8	B8A5K8_DANRE	Si:dkey-245p14.4 (Uncharacterized protein LOC563576)	im:7157987 si:dkey-245p14.4 exoc1l	si:dkey-245p14.4	23594743; 27189481
O57366	Q58EL0	HXCBA_DANRE	Homeobox protein Hox-C11a	hoxc11a zgc:110834		16174031; 9831563; 9425136
Q4PR85	Q58EL0	HXCBA_DANRE	Homeobox protein Hox-C11a	hoxc11a zgc:110834		16174031; 9831563; 9425136
Q58EL0	Q58EL0	HXCBA_DANRE	Homeobox protein Hox-C11a	hoxc11a zgc:110834		16174031; 9831563; 9425136
Q9YGT2	Q58EL0	HXCBA_DANRE	Homeobox protein Hox-C11a	hoxc11a zgc:110834		16174031; 9831563; 9425136
Q1L8T7	A0A8M2B6G8	A0A8M2B6G8_DANRE	Discs, large (Drosophila) homolog-associated protein 3 (Disks large-associated protein 3)	si:ch211-250g4.1 dlgap3		20463905; 23594743; 26469318; 27189481; 28252024
Q1LWG0	Q1LWG0	Q1LWG0_DANRE	Gap junction protein	cx39.4 si:ch211-261o1.1 gja4	si:ch211-261o1.1	16337772; 17338632; 23594743; 25411213; 25535837; 24163130; 26701906; 25915619; 26469318; 26598520
Q6DEG1	Q6DEG1	Q6DEG1_DANRE	Gap junction protein	cx30.9 zgc:91934 gjb9b	zgc:91934	16337772; 17338632; 23594743
Q08BX5	Q08BX5	Q08BX5_DANRE	Basal cell adhesion molecule (Lutheran blood group) (Basal cell adhesion molecule precursor)	zgc:154034 bcam		20005219; 23499359; 23594743; 27189481
B3DHC5	B3DHC5	B3DHC5_DANRE	Apolipoprotein A-IV b, tandem duplicate 2 (Apolipoprotein A-IV-like isoform X2) (Apolipoprotein A-IV-like precursor) (Zgc:194131)	fc28d04 wu:fc10a03 wu:fc28d04 apoa4b.2 zgc:194131	wu:fc10a03 wu:fc28d04	23594743; 25633982; 25756310; 26469318; 27655916; 27731423; 28888875; 28631837; 29209275; 28252024; 29445184
A9ZPD8	A9ZPD8	A9ZPD8_DANRE	C-C motif chemokine 5 (Small-inducible cytokine A5) (T-cell-specific protein RANTES)	ccl35.2		16697551; 18482437; 23145839; 23594743; 25536407; 26469318; 27075912; 30072996; 29760055
E7FAS2	E7FAS2	E7FAS2_DANRE	Nudix (nucleoside diphosphate-linked moiety X)-type motif 7 (Peroxisomal coenzyme A diphosphatase NUDT7)	nudt7		23594743
F1QPT5	F1QPT5	F1QPT5_DANRE	deleted			
Q68EH8	Q68EH8	FAD1_DANRE	FAD synthase (EC 2.7.7.2) (FAD pyrophosphorylase) (FMN adenylyltransferase) (Flavin adenine dinucleotide synthase) [Includes: Molybdenum cofactor biosynthesis protein-like region; FAD synthase region]	flad1 zgc:91843		
F1QPT2	F1QPT2	F1QPT2_DANRE	deleted			
Q1LWW7	Q1LWW7	Q1LWW7_DANRE	Bone morphogenetic protein 8A	bmp8 bmp8a		17205186; 20463905; 23594743; 24561038; 28627438; 28536466
Q1L8M6	Q1L8M6	Q1L8M6_DANRE	G1/S-specific cyclin-D2	si:ch211-240j22.2 ccnd2b		18850331; 23594743; 24485658; 25564648; 26469318; 25630924; 27189481; 27806298; 27323909
F1QPR0	F1QPR0	F1QPR0_DANRE	deleted			
Q5BJA2	Q5BJA2	Q5BJA2_DANRE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit)	zgc:114172 ndufa5		23594743; 26469318; 28138518; 28252024
Q5SPB5	Q5SPB5	Q5SPB5_DANRE	deleted			
Q5SPB6	Q5SPB6	CHAC1_DANRE	Glutathione-specific gamma-glutamylcyclotransferase 1 (Gamma-GCG 1) (EC 4.3.2.7) (Cation transport regulator-like protein 1)	chac1		23594743
Q29RA7	Q29RA7	Q29RA7_DANRE	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein (General receptor for phosphoinositides 1-associated scaffold protein)	graspl grasp zgc:136876 tamalin	grasp zgc:136876	12586822; 20146251; 21360790; 23594743; 27189481
Q5XJD3	Q5XJD3	FIP1_DANRE	Pre-mRNA 3'-end-processing factor FIP1 (FIP1-like 1 protein)	fip1l1 zgc:103421		18307296
F1QPD8	F1QPD8	F1QPD8_DANRE	deleted			
P59015	P59015	VPS18_DANRE	Vacuolar protein sorting-associated protein 18 homolog	vps18		23594743; 12006978; 16000385
Q5SPB8	P59015	VPS18_DANRE	Vacuolar protein sorting-associated protein 18 homolog	vps18		23594743; 12006978; 16000385
Q5YLG6	Q5YLG6	Q5YLG6_DANRE	Ras homolog gene family, member V (Ras family GTPase) (Ras homolog family member V) (Rho-related GTP-binding protein RhoV)	OTTDARP00000007023 chp sb:cb832 si:ch211-244p18.1 zgc:111951 rhov CH211-244P18.1-001	chp sb:cb832 si:ch211-244p18.1 zgc:111951	11731487; 15894457; 20405038; 21652651; 22538478; 23594743; 26469318; 27189481
Q6P2B0	Q6P2B0	Q6P2B0_DANRE	VAMP (vesicle-associated membrane protein)-associated protein B and C (Vapb protein) (Vesicle-associated membrane protein, associated protein B and C) (Vesicle-associated membrane protein-associated protein B/C)	fc05d09 wu:fa96d05 wu:fc05d09 zgc:66045 vapb	wu:fa96d05 wu:fc05d09 zgc:66045	20339547; 23446633; 23594743; 27913641; 28252024
F1QPC9	F1QPC9	F1QPC9_DANRE	deleted			
Q9I8U9	Q9I8U9	Q9I8U9_DANRE	Fast skeletal muscle troponin T (Fast troponin T isoform a) (Troponin T type 3A (skeletal, fast)) (Troponin T3a, skeletal, fast)	tnnt tnnt3a		11002340; 12761854; 15533793; 18248185; 16942865; 16517001; 18253507; 23594743; 25840430; 27189481; 26827899; 30157643; 29483630
E7FGQ8	E7FGQ8	E7FGQ8_DANRE	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I)	gch1a wu:fc16b10 zgc:195269 gch1	wu:fc16b10 zgc:195269	17498288; 18978947; 22412924; 23594743; 24683187; 26469318; 27189481; 27494266; 29621239; 30995231
A3KNJ5	A3KNJ5	A3KNJ5_DANRE	Group XIIA secretory phospholipase A2 precursor (EC 3.1.1.4) (Phospholipase A2, group XIIA) (Zgc:162119 protein)	zgc:162119 pla2g12a		19056761; 23594743; 26469318
B3DFK5	B3DFK5	B3DFK5_DANRE	deleted			
Q7SXR1	Q7SXR1	TRBP2_DANRE	RISC-loading complex subunit tarbp2	tarbp2		
Q6NWJ4	Q6NWJ4	DNJC2_DANRE	DnaJ homolog subfamily C member 2	dnajc2 zgc:85671		
Q7SY51	Q6NWJ4	DNJC2_DANRE	DnaJ homolog subfamily C member 2	dnajc2 zgc:85671		
Q7ZUW4	Q7ZUW4	Q7ZUW4_DANRE	ADP-ribosylation factor	wu:fb16f02 cb445 cb789 sb:cb445 wu:fa06c04 arf5 DKEY-238C7.10-001	cb445 cb789 sb:cb445 wu:fa06c04	23000284; 23594743; 26469318; 28252024; 29145436
Q6NW62	Q6NW62	Q6NW62_DANRE	KH domain-containing, RNA-binding, signal transduction-associated 1b (KH domain-containing, RNA-binding, signal transduction-associated protein 1) (Zgc:85948)	khdrbs1l sb:cb97 wu:fb07d11 wu:fi43c05 khdrbs1b zgc:85948	sb:cb97 wu:fb07d11 wu:fi43c05	15520368; 23594743; 26469318; 29354154
A7MCE1	Q5RZ65	AGR2_DANRE	Anterior gradient protein 2 homolog (Zagr2)	agr2 si:ch211-201m19.5 wu:fj29g05 zgc:112187		17175205; 23594743
Q5RZ65	Q5RZ65	AGR2_DANRE	Anterior gradient protein 2 homolog (Zagr2)	agr2 si:ch211-201m19.5 wu:fj29g05 zgc:112187		17175205; 23594743
Q1L8E6	Q1L8E6	Q1L8E6_DANRE	GAS2-like protein 3 (Growth arrest-specific 2-like 3)	fc11d07 si:ch211-203h15.1 wu:fc11d07 gas2l3	si:ch211-203h15.1 wu:fc11d07	15520368; 18850331; 23594743; 25131197; 26469318; 27189481
B3DJV8	B3DJV8	B3DJV8_DANRE	Centromere protein S	LOC569270 apitd1 zgc:194319 cenps	apitd1 zgc:194319	23427147; 23594743
Q58EJ9	Q58EJ9	MARC1_DANRE	Mitochondrial amidoxime-reducing component 1 (mARC1) (EC 1.7.-.-)	mtarc1 marc1 zgc:110783	marc1	
F1QNY8	F1QNY8	F1QNY8_DANRE	deleted			
Q9DE49	Q9DE49	PGFRA_DANRE	Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor)	pdgfra		12211169
F1QNY1	F1QNY1	F1QNY1_DANRE	deleted			
F1QNK9	F1QNK9	F1QNK9_DANRE	deleted			
E7F5R2	A0A8M1QHZ3	A0A8M1QHZ3_DANRE	Glutamate receptor	si:dkey-183j2.10		23594743
Q8JH68	Q8JH68	MXA_DANRE	Interferon-induced GTP-binding protein MxA (IFN-inducible antiviral protein MxA) (Interferon-inducible MxA protein)	mxa		14698216; 12869211
A0SKZ8	Q5XJA0	TYDP2_DANRE	Tyrosyl-DNA phosphodiesterase 2 (Tyr-DNA phosphodiesterase 2) (EC 3.1.4.-) (5'-tyrosyl-DNA phosphodiesterase) (5'-Tyr-DNA phosphodiesterase) (TRAF and TNF receptor-associated protein homolog)	tdp2 ttrap ttrapl si:ch211-81e5.5 si:dkey-218n20.5	ttrap ttrapl	18039968; 23594743; 23104058; 29574079
A4FUK7	Q5XJA0	TYDP2_DANRE	Tyrosyl-DNA phosphodiesterase 2 (Tyr-DNA phosphodiesterase 2) (EC 3.1.4.-) (5'-tyrosyl-DNA phosphodiesterase) (5'-Tyr-DNA phosphodiesterase) (TRAF and TNF receptor-associated protein homolog)	tdp2 ttrap ttrapl si:ch211-81e5.5 si:dkey-218n20.5	ttrap ttrapl	18039968; 23594743; 23104058; 29574079
Q1LU95	Q5XJA0	TYDP2_DANRE	Tyrosyl-DNA phosphodiesterase 2 (Tyr-DNA phosphodiesterase 2) (EC 3.1.4.-) (5'-tyrosyl-DNA phosphodiesterase) (5'-Tyr-DNA phosphodiesterase) (TRAF and TNF receptor-associated protein homolog)	tdp2 ttrap ttrapl si:ch211-81e5.5 si:dkey-218n20.5	ttrap ttrapl	18039968; 23594743; 23104058; 29574079
Q1LWU3	Q5XJA0	TYDP2_DANRE	Tyrosyl-DNA phosphodiesterase 2 (Tyr-DNA phosphodiesterase 2) (EC 3.1.4.-) (5'-tyrosyl-DNA phosphodiesterase) (5'-Tyr-DNA phosphodiesterase) (TRAF and TNF receptor-associated protein homolog)	tdp2 ttrap ttrapl si:ch211-81e5.5 si:dkey-218n20.5	ttrap ttrapl	18039968; 23594743; 23104058; 29574079
Q4V912	Q5XJA0	TYDP2_DANRE	Tyrosyl-DNA phosphodiesterase 2 (Tyr-DNA phosphodiesterase 2) (EC 3.1.4.-) (5'-tyrosyl-DNA phosphodiesterase) (5'-Tyr-DNA phosphodiesterase) (TRAF and TNF receptor-associated protein homolog)	tdp2 ttrap ttrapl si:ch211-81e5.5 si:dkey-218n20.5	ttrap ttrapl	18039968; 23594743; 23104058; 29574079
Q5XJA0	Q5XJA0	TYDP2_DANRE	Tyrosyl-DNA phosphodiesterase 2 (Tyr-DNA phosphodiesterase 2) (EC 3.1.4.-) (5'-tyrosyl-DNA phosphodiesterase) (5'-Tyr-DNA phosphodiesterase) (TRAF and TNF receptor-associated protein homolog)	tdp2 ttrap ttrapl si:ch211-81e5.5 si:dkey-218n20.5	ttrap ttrapl	18039968; 23594743; 23104058; 29574079
F1QNG2	F1QNG2	F1QNG2_DANRE	Interferon regulatory factor 7	wu:fl24c03 zgc:66043 zgc:77947 irf7	zgc:66043 zgc:77947	18039395; 20444275; 20637800; 20438850; 19896215; 23594743; 30484769; 30170110; 30072996; 30508673; 30753916
E7FFR4	E7FFR4	E7FFR4_DANRE	Cyclic AMP-responsive element-binding protein 5 (cAMP-responsive element-binding protein 5b)	creb5b		23594743
Q6NV33	Q6NV33	Q6NV33_DANRE	Isocitrate dehydrogenase [NAD] subunit, mitochondrial	zgc:56380 zgc:85631 idh3a	zgc:85631	19500364; 20528263; 23594743; 25778530; 26469318; 27189481; 27156127; 28252024
Q8AXV6	Q8AXV6	HEY1_DANRE	Hairy/enhancer-of-split related with YRPW motif protein 1	hey1		14593478
A0A0A0MPL5	A0A0A0MPL5	A0A0A0MPL5_DANRE	Fascin	fscn1b		23594743
E7FFQ6	E7FFQ6	E7FFQ6_DANRE	Potassium voltage-gated channel subfamily G member 2-like (Potassium voltage-gated channel, subfamily G, member 2)	kcng2		23594743
F1QYY8	A0A8M6Z959	A0A8M6Z959_DANRE	DEP domain-containing mTOR-interacting protein-like (Si:dkeyp-97e7.9)	si:dkeyp-97e7.9		23594743
F1QDE5	F1QDE5	F1QDE5_DANRE	Glutamate receptor	grin2ab		23594743
F1QYY7	F1QDE5	F1QDE5_DANRE	Glutamate receptor	grin2ab		23594743
F1QNV1	F1QNV1	F1QNV1_DANRE	deleted			
E7FFQ3	E7FFQ3	E7FFQ3_DANRE	deleted			
B7ZD57	Q6NY82	UBE2F_DANRE	NEDD8-conjugating enzyme UBE2F (EC 2.3.2.32) (NEDD8 carrier protein UBE2F) (NEDD8 protein ligase UBE2F) (NEDD8-conjugating enzyme 2) (RING-type E3 NEDD8 transferase UBE2F) (Ubiquitin-conjugating enzyme E2 F)	ube2f ch211-93g23.1 zgc:77005		23594743
B7ZD58	Q6NY82	UBE2F_DANRE	NEDD8-conjugating enzyme UBE2F (EC 2.3.2.32) (NEDD8 carrier protein UBE2F) (NEDD8 protein ligase UBE2F) (NEDD8-conjugating enzyme 2) (RING-type E3 NEDD8 transferase UBE2F) (Ubiquitin-conjugating enzyme E2 F)	ube2f ch211-93g23.1 zgc:77005		23594743
Q6NY82	Q6NY82	UBE2F_DANRE	NEDD8-conjugating enzyme UBE2F (EC 2.3.2.32) (NEDD8 carrier protein UBE2F) (NEDD8 protein ligase UBE2F) (NEDD8-conjugating enzyme 2) (RING-type E3 NEDD8 transferase UBE2F) (Ubiquitin-conjugating enzyme E2 F)	ube2f ch211-93g23.1 zgc:77005		23594743
F1QYW5	F1QYW5	F1QYW5_DANRE	deleted			
A8WGP3	A8WGP3	PP4CA_DANRE	Serine/threonine-protein phosphatase 4 catalytic subunit A (PP4C-A) (EC 3.1.3.16)	ppp4ca pp4c zgc:56413	pp4c	
Q7ZWF9	A8WGP3	PP4CA_DANRE	Serine/threonine-protein phosphatase 4 catalytic subunit A (PP4C-A) (EC 3.1.3.16)	ppp4ca pp4c zgc:56413	pp4c	
Q7ZVK8	Q7ZVK8	Q7ZVK8_DANRE	Mitogen-activated protein kinase (EC 2.7.11.24)	ERK1 fi06b09 wu:fi06b09 zERK1 mapk3	fi06b09 wu:fi06b09 zERK1	12881410; 15520368; 16774848; 17999625; 18307296; 23594743; 29506474; 29454830; 29648648; 29632383; 29229010
Q6P2T3	Q6P2T3	Q6P2T3_DANRE	Glycerophosphodiester phosphodiesterase domain containing 1 like (Glycerophosphodiester phosphodiesterase domain containing 3) (Glycerophosphodiester phosphodiesterase domain-containing 3a)	gdpd3 gdpd1l wu:fl20d04 zgc:77781 gdpd3a	gdpd1l wu:fl20d04 zgc:77781	22566537; 22915831; 23594743; 26469318; 27189481; 28934389
F1QNA4	F1QNA4	F1QNA4_DANRE	Dishevelled segment polarity protein 1b (Segment polarity protein dishevelled homolog DVL-1 isoform X2)	dvl1 dvl2l dvl1b	dvl2l	23594743
A2CEW3	A2CEW3	A2CEW3_DANRE	Fibronectin	cb1057 fn1l fn3 wu:fa14f11 wu:fb03c02 fn1b	fn1l fn3 wu:fa14f11 wu:fb03c02	23594743
Q1MT02	Q1MT02	Q1MT02_DANRE	Endothelin 2	si:ch211-202b2.2 edn2		19174480; 23499359; 23594743; 23656968; 26469318; 27189481; 28245924
Q6DI51	Q6DI51	NDK6_DANRE	Nucleoside diphosphate kinase 6 (NDK 6) (NDP kinase 6) (EC 2.7.4.6)	nme6 ndpkz6	ndpkz6	23594743
E7FE68	E7FE68	E7FE68_DANRE	Stathmin	zgc:92905 stmn2a		19272335; 20621975; 20463883; 20463905; 23594743; 26469318; 27189481; 27819330; 28252024
E7F409	E7F409	E7F409_DANRE	5'-nucleotidase, cytosolic IAb (Cytosolic 5'-nucleotidase 1A-like isoform X2)	nt5c1ab		23594743
Q08BC6	Q08BC6	ENO4_DANRE	Enolase 4 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase)	eno4 zgc:153973		
A1L1Q0	Q1LWG4	PCAT1_DANRE	Lysophosphatidylcholine acyltransferase 1 (LPC acyltransferase 1) (LPCAT-1) (LysoPC acyltransferase 1) (EC 2.3.1.23) (1-acylglycerol-3-phosphate O-acyltransferase) (EC 2.3.1.51) (1-acylglycerophosphocholine O-acyltransferase) (1-alkenylglycerophosphocholine O-acyltransferase) (EC 2.3.1.25) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acetyl-CoA:lyso-platelet-activating factor acetyltransferase) (Acetyl-CoA:lyso-PAF acetyltransferase) (Lyso-PAF acetyltransferase) (LysoPAFAT) (Acyltransferase-like 2)	lpcat1 aytl2 si:dkey-261i16.4 zgc:158232	aytl2	23594743
Q1LWG4	Q1LWG4	PCAT1_DANRE	Lysophosphatidylcholine acyltransferase 1 (LPC acyltransferase 1) (LPCAT-1) (LysoPC acyltransferase 1) (EC 2.3.1.23) (1-acylglycerol-3-phosphate O-acyltransferase) (EC 2.3.1.51) (1-acylglycerophosphocholine O-acyltransferase) (1-alkenylglycerophosphocholine O-acyltransferase) (EC 2.3.1.25) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acetyl-CoA:lyso-platelet-activating factor acetyltransferase) (Acetyl-CoA:lyso-PAF acetyltransferase) (Lyso-PAF acetyltransferase) (LysoPAFAT) (Acyltransferase-like 2)	lpcat1 aytl2 si:dkey-261i16.4 zgc:158232	aytl2	23594743
F1QY17	F1QY17	F1QY17_DANRE	deleted			
E7F3Z4	E7F3Z4	E7F3Z4_DANRE	deleted			
A5WWF2	Q0VIA1	MED10_DANRE	Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10) (Protein tennis match)	med10 ten si:dkey-262j19.1 zgc:112222	ten	17208216; 23594743
Q0VIA1	Q0VIA1	MED10_DANRE	Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10) (Protein tennis match)	med10 ten si:dkey-262j19.1 zgc:112222	ten	17208216; 23594743
Q566Y7	Q0VIA1	MED10_DANRE	Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10) (Protein tennis match)	med10 ten si:dkey-262j19.1 zgc:112222	ten	17208216; 23594743
