From	Entry	Entry Name	Protein names	Gene Names	Gene Ontology IDs
Q7ZU99	Q7ZU99	TERA_DANRE	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (Protein CDC48) (Valosin-containing protein) (VCP)	vcp cdc48 si:ch211-113n10.2	GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006281; GO:0006302; GO:0006914; GO:0006974; GO:0007626; GO:0008289; GO:0010506; GO:0016236; GO:0016567; GO:0016887; GO:0019985; GO:0030239; GO:0030433; GO:0030970; GO:0031593; GO:0032434; GO:0032510; GO:0034098; GO:0034976; GO:0035861; GO:0036297; GO:0036503; GO:0043009; GO:0043161; GO:0051228; GO:0055013; GO:0060047; GO:0071712; GO:0097352; GO:1905634; GO:2000058
Q7SZP8	Q7SZP8	Q7SZP8_DANRE	Protein Tob1 (Transducer of ERBB2, 1b)	tob1l wu:fb54d02 wu:fb98h12 wu:fd15f10 zgc:65837 tob1b	GO:0003714; GO:0005634; GO:0005737; GO:0010468
Q8AY15	Q8AY15	Q8AY15_DANRE	Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member)	madh3 madh3a smad3 wu:fa99e03 smad3a	GO:0000978; GO:0000981; GO:0005667; GO:0005737; GO:0006355; GO:0007179; GO:0007498; GO:0009653; GO:0030154; GO:0032924; GO:0043565; GO:0045944; GO:0046872; GO:0060215; GO:0060395; GO:0070411; GO:0071144
Q66HX9	Q66HX9	Q66HX9_DANRE	deleted		
E7FC99	E7FC99	E7FC99_DANRE	deleted		
F1QBD4	F1QBD4	F1QBD4_DANRE	deleted		
A0A0R4IC56	A0A0R4IC56	A0A0R4IC56_DANRE	deleted		
F1QEH0	F1QEH0	F1QEH0_DANRE	deleted		
F1QQE4	F1QQE4	F1QQE4_DANRE	deleted		
B8JKM0	B8JKM0	B8JKM0_DANRE	Leucine-rich repeat transmembrane neuronal 1 (Leucine-rich repeat transmembrane neuronal protein 1)	lrrtm1	GO:0005615; GO:0016020; GO:0031012; GO:0042802
F1Q635	A0A8M1Q1X6	A0A8M1Q1X6_DANRE	Ephrin-A3 (Ephrin-A3a)	efna3a	GO:0005886; GO:0007411; GO:0046875; GO:0048013; GO:0098552
Q803U5	Q9PVK4	LDHBA_DANRE	L-lactate dehydrogenase B-A chain (LDH-B-A) (EC 1.1.1.27)	ldhba ldhb si:dkey-13i19.5	GO:0004459; GO:0005739; GO:0006089; GO:0006090
Q9PVK4	Q9PVK4	LDHBA_DANRE	L-lactate dehydrogenase B-A chain (LDH-B-A) (EC 1.1.1.27)	ldhba ldhb si:dkey-13i19.5	GO:0004459; GO:0005739; GO:0006089; GO:0006090
O57462	Q6DI48	DLLA_DANRE	Delta-like protein A (DeltaA)	dla	GO:0001525; GO:0005112; GO:0005509; GO:0005886; GO:0005938; GO:0007219; GO:0008593; GO:0009880; GO:0014032; GO:0021514; GO:0021536; GO:0022008; GO:0030901; GO:0033504; GO:0045746; GO:0055016; GO:0060034; GO:0060113
Q6DI48	Q6DI48	DLLA_DANRE	Delta-like protein A (DeltaA)	dla	GO:0001525; GO:0005112; GO:0005509; GO:0005886; GO:0005938; GO:0007219; GO:0008593; GO:0009880; GO:0014032; GO:0021514; GO:0021536; GO:0022008; GO:0030901; GO:0033504; GO:0045746; GO:0055016; GO:0060034; GO:0060113
Q7T3L3	Q7T3L3	Q7T3L3_DANRE	Chaperone protein GP96 (Endoplasmin precursor) (Heat shock protein 90, beta (Grp94), member 1)	GP96 fb61d09 GRP94 tra-1 tra1 wu:fb61d09 wu:fq25g01 hsp90b1	GO:0001666; GO:0005524; GO:0005783; GO:0006457; GO:0016887; GO:0030433; GO:0035889; GO:0048471; GO:0050830; GO:0051082; GO:0140662
F1R350	F1R350	F1R350_DANRE	deleted		
E7FH58	E7FH58	E7FH58_DANRE	Neurotrimin (Neurotrimin isoform 1 precursor)	zgc:136455 ntm	GO:0042802
A0A4W4	A0A4W4	A0A4W4_DANRE	Kilon (Neuronal growth regulator 1) (Neuronal growth regulator 1 precursor)	zgc:100871 negr1	GO:0042802
E7FAG9	A0A4W4	A0A4W4_DANRE	Kilon (Neuronal growth regulator 1) (Neuronal growth regulator 1 precursor)	zgc:100871 negr1	GO:0042802
A2ARH1	A2ARH1	A2ARH1_DANRE	deleted		
O42365	O42365	HXA2B_DANRE	Homeobox protein Hox-A2b (Hox-A2)	hoxa2b hoxa2	GO:0000981; GO:0003677; GO:0005634
Q4PRA7	O42365	HXA2B_DANRE	Homeobox protein Hox-A2b (Hox-A2)	hoxa2b hoxa2	GO:0000981; GO:0003677; GO:0005634
Q9DEZ0	O42365	HXA2B_DANRE	Homeobox protein Hox-A2b (Hox-A2)	hoxa2b hoxa2	GO:0000981; GO:0003677; GO:0005634
A2BEU6	Q90Z00	FGR1A_DANRE	Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)	fgfr1a fgfr1 si:ch211-198o12.1	GO:0001889; GO:0005007; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0007169; GO:0007498; GO:0008201; GO:0008284; GO:0008543; GO:0009953; GO:0010863; GO:0017134; GO:0018108; GO:0021628; GO:0031101; GO:0031410; GO:0033339; GO:0033674; GO:0036342; GO:0042664; GO:0043235; GO:0043406; GO:0043589; GO:0045471; GO:0045597; GO:0048738; GO:0048916; GO:0051216; GO:0060249; GO:0071699
A2BEU7	Q90Z00	FGR1A_DANRE	Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)	fgfr1a fgfr1 si:ch211-198o12.1	GO:0001889; GO:0005007; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0007169; GO:0007498; GO:0008201; GO:0008284; GO:0008543; GO:0009953; GO:0010863; GO:0017134; GO:0018108; GO:0021628; GO:0031101; GO:0031410; GO:0033339; GO:0033674; GO:0036342; GO:0042664; GO:0043235; GO:0043406; GO:0043589; GO:0045471; GO:0045597; GO:0048738; GO:0048916; GO:0051216; GO:0060249; GO:0071699
A4JYD6	Q90Z00	FGR1A_DANRE	Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)	fgfr1a fgfr1 si:ch211-198o12.1	GO:0001889; GO:0005007; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0007169; GO:0007498; GO:0008201; GO:0008284; GO:0008543; GO:0009953; GO:0010863; GO:0017134; GO:0018108; GO:0021628; GO:0031101; GO:0031410; GO:0033339; GO:0033674; GO:0036342; GO:0042664; GO:0043235; GO:0043406; GO:0043589; GO:0045471; GO:0045597; GO:0048738; GO:0048916; GO:0051216; GO:0060249; GO:0071699
B3DGB8	Q90Z00	FGR1A_DANRE	Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)	fgfr1a fgfr1 si:ch211-198o12.1	GO:0001889; GO:0005007; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0007169; GO:0007498; GO:0008201; GO:0008284; GO:0008543; GO:0009953; GO:0010863; GO:0017134; GO:0018108; GO:0021628; GO:0031101; GO:0031410; GO:0033339; GO:0033674; GO:0036342; GO:0042664; GO:0043235; GO:0043406; GO:0043589; GO:0045471; GO:0045597; GO:0048738; GO:0048916; GO:0051216; GO:0060249; GO:0071699
Q1LY25	Q90Z00	FGR1A_DANRE	Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)	fgfr1a fgfr1 si:ch211-198o12.1	GO:0001889; GO:0005007; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0007169; GO:0007498; GO:0008201; GO:0008284; GO:0008543; GO:0009953; GO:0010863; GO:0017134; GO:0018108; GO:0021628; GO:0031101; GO:0031410; GO:0033339; GO:0033674; GO:0036342; GO:0042664; GO:0043235; GO:0043406; GO:0043589; GO:0045471; GO:0045597; GO:0048738; GO:0048916; GO:0051216; GO:0060249; GO:0071699
Q800Y8	Q90Z00	FGR1A_DANRE	Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)	fgfr1a fgfr1 si:ch211-198o12.1	GO:0001889; GO:0005007; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0007169; GO:0007498; GO:0008201; GO:0008284; GO:0008543; GO:0009953; GO:0010863; GO:0017134; GO:0018108; GO:0021628; GO:0031101; GO:0031410; GO:0033339; GO:0033674; GO:0036342; GO:0042664; GO:0043235; GO:0043406; GO:0043589; GO:0045471; GO:0045597; GO:0048738; GO:0048916; GO:0051216; GO:0060249; GO:0071699
Q800Y9	Q90Z00	FGR1A_DANRE	Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)	fgfr1a fgfr1 si:ch211-198o12.1	GO:0001889; GO:0005007; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0007169; GO:0007498; GO:0008201; GO:0008284; GO:0008543; GO:0009953; GO:0010863; GO:0017134; GO:0018108; GO:0021628; GO:0031101; GO:0031410; GO:0033339; GO:0033674; GO:0036342; GO:0042664; GO:0043235; GO:0043406; GO:0043589; GO:0045471; GO:0045597; GO:0048738; GO:0048916; GO:0051216; GO:0060249; GO:0071699
Q800Z0	Q90Z00	FGR1A_DANRE	Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)	fgfr1a fgfr1 si:ch211-198o12.1	GO:0001889; GO:0005007; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0007169; GO:0007498; GO:0008201; GO:0008284; GO:0008543; GO:0009953; GO:0010863; GO:0017134; GO:0018108; GO:0021628; GO:0031101; GO:0031410; GO:0033339; GO:0033674; GO:0036342; GO:0042664; GO:0043235; GO:0043406; GO:0043589; GO:0045471; GO:0045597; GO:0048738; GO:0048916; GO:0051216; GO:0060249; GO:0071699
Q800Z1	Q90Z00	FGR1A_DANRE	Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)	fgfr1a fgfr1 si:ch211-198o12.1	GO:0001889; GO:0005007; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0007169; GO:0007498; GO:0008201; GO:0008284; GO:0008543; GO:0009953; GO:0010863; GO:0017134; GO:0018108; GO:0021628; GO:0031101; GO:0031410; GO:0033339; GO:0033674; GO:0036342; GO:0042664; GO:0043235; GO:0043406; GO:0043589; GO:0045471; GO:0045597; GO:0048738; GO:0048916; GO:0051216; GO:0060249; GO:0071699
Q90Z00	Q90Z00	FGR1A_DANRE	Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)	fgfr1a fgfr1 si:ch211-198o12.1	GO:0001889; GO:0005007; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0007169; GO:0007498; GO:0008201; GO:0008284; GO:0008543; GO:0009953; GO:0010863; GO:0017134; GO:0018108; GO:0021628; GO:0031101; GO:0031410; GO:0033339; GO:0033674; GO:0036342; GO:0042664; GO:0043235; GO:0043406; GO:0043589; GO:0045471; GO:0045597; GO:0048738; GO:0048916; GO:0051216; GO:0060249; GO:0071699
A0A0R4IDE6	A0A0R4IDE6	A0A0R4IDE6_DANRE	deleted		
O57521	O57521	HS90B_DANRE	Heat shock protein HSP 90-beta	hsp90ab1 hsp90b	GO:0001568; GO:0005524; GO:0005576; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006457; GO:0007517; GO:0016887; GO:0030511; GO:0032435; GO:0032991; GO:0034605; GO:0034751; GO:0043627; GO:0046983; GO:0048471; GO:0050821; GO:0050900; GO:0051082; GO:0051726; GO:0097718; GO:0120293; GO:0140662; GO:1901389
Q6P0Y9	O57521	HS90B_DANRE	Heat shock protein HSP 90-beta	hsp90ab1 hsp90b	GO:0001568; GO:0005524; GO:0005576; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006457; GO:0007517; GO:0016887; GO:0030511; GO:0032435; GO:0032991; GO:0034605; GO:0034751; GO:0043627; GO:0046983; GO:0048471; GO:0050821; GO:0050900; GO:0051082; GO:0051726; GO:0097718; GO:0120293; GO:0140662; GO:1901389
Q90475	O57521	HS90B_DANRE	Heat shock protein HSP 90-beta	hsp90ab1 hsp90b	GO:0001568; GO:0005524; GO:0005576; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006457; GO:0007517; GO:0016887; GO:0030511; GO:0032435; GO:0032991; GO:0034605; GO:0034751; GO:0043627; GO:0046983; GO:0048471; GO:0050821; GO:0050900; GO:0051082; GO:0051726; GO:0097718; GO:0120293; GO:0140662; GO:1901389
Q58EG2	Q58EG2	ERLN1_DANRE	Erlin-1 (Endoplasmic reticulum lipid raft-associated protein 1)	erlin1 si:ch211-223p8.2 zgc:110547	GO:0005789; GO:0008203; GO:0015485; GO:0031625; GO:0032933
A3KDM3	A3KDM3	A3KDM3_DANRE	CTR9 homolog, Paf1/RNA polymerase II complex component (RNA polymerase-associated protein CTR9 homolog)	fc54a06 wu:fc54a06 ctr9	GO:0000993; GO:0001756; GO:0005634; GO:0006355; GO:0006368; GO:0007507; GO:0014032; GO:0016570; GO:0016593; GO:0043473; GO:0051569
X1WHN7	X1WHN7	X1WHN7_DANRE	Cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae) (Parafibromin isoform 1)	hrpt2 zgc:63956 cdc73	GO:0000993; GO:0005634; GO:0006368; GO:0016570; GO:0016593; GO:0021529; GO:0030218; GO:0032968; GO:0034243; GO:0034402
Q4U0S5	Q4U0S5	PAF1_DANRE	RNA polymerase II-associated factor 1 homolog (PD2-like protein)	paf1 paf1l	GO:0000122; GO:0000993; GO:0003682; GO:0005634; GO:0006368; GO:0007507; GO:0014032; GO:0016570; GO:0016593
Q6NYV9	Q6NYV9	LEO1_DANRE	RNA polymerase-associated protein LEO1	leo1 zgc:77374	GO:0005634; GO:0006368; GO:0007507; GO:0014032; GO:0016570; GO:0016593; GO:0021529; GO:0021782; GO:0030318; GO:0032968; GO:0048701; GO:0050936; GO:1990269
Q6NYE1	Q6NYE1	Q6NYE1_DANRE	Fibrinogen beta chain (Fibrinogen beta chain precursor) (Fibrinogen, B beta polypeptide)	wu:fa55c11 zgc:77116 fgb	GO:0005102; GO:0005577; GO:0005615; GO:0007160; GO:0051258; GO:0062023; GO:0070527; GO:0072378
E7FFM8	E7FFM8	E7FFM8_DANRE	deleted		
Q6GMI5	Q6GMI5	Q6GMI5_DANRE	Biglycan	bgn zgc:91989 bgna	GO:0005615
F1QSA4	F1QSA4	F1QSA4_DANRE	Myelin-associated glycoprotein (Myelin-associated glycoprotein isoform 1 precursor) (Myelin-associated glycoprotein isoform X1)	siglec-4 mag	GO:0005886; GO:0007155; GO:0030246; GO:0033691; GO:0042802
A0A0R4ITK9	A0A0R4ITK9	A0A0R4ITK9_DANRE	deleted		
F1QHI8	F1QHI8	F1QHI8_DANRE	Platelet-derived growth factor receptor-like protein	zgc:56104 zgc:77677 pdgfrl	GO:0042802
Q6IYD1	Q6IYD1	Q6IYD1_DANRE	Dragon (RGM domain family member B precursor) (Repulsive guidance molecule BMP co-receptor b)	rgmb	GO:0005886; GO:0015026; GO:0030509; GO:0098552
A0A0G2KXQ3	A0A0G2KXQ3	A0A0G2KXQ3_DANRE	deleted		
A0A0R4IP15	A0A0R4IP15	A0A0R4IP15_DANRE	Neogenin 1a (Neogenin isoform 1 precursor)	cb333 neo1 zgc:109795 zneo1 neo1a	GO:0000902; GO:0001756; GO:0001764; GO:0001841; GO:0005886; GO:0007399; GO:0007411; GO:0009986; GO:0044295; GO:0098609
Q7ZTX2	Q7ZTX2	Q7ZTX2_DANRE	WD repeat domain 5 (WD repeat-containing protein 5) (Wdr5 protein)	wu:fk47f04 zgc:56591 zgc:76895 wdr5	GO:0032991; GO:0042393; GO:0048188; GO:0051568
F1QST7	F1QST7	F1QST7_DANRE	deleted		
B0S733	B0S733	REN3A_DANRE	Regulator of nonsense transcripts 3A (Up-frameshift suppressor 3 homolog A)	upf3a si:dkey-21o13.6	GO:0000184; GO:0003723; GO:0005730; GO:0005737; GO:0032991; GO:0042162; GO:0045727; GO:0051028
Q4VBI8	B0S733	REN3A_DANRE	Regulator of nonsense transcripts 3A (Up-frameshift suppressor 3 homolog A)	upf3a si:dkey-21o13.6	GO:0000184; GO:0003723; GO:0005730; GO:0005737; GO:0032991; GO:0042162; GO:0045727; GO:0051028
Q15JE7	Q15JE7	Q15JE7_DANRE	Opticin (Opticin precursor)	dspg3 optcl wu:fb81a05 zgc:101047 optc	GO:0031012; GO:0060348; GO:0061975
A0A0R4IU08	A0A0R4IU08	A0A0R4IU08_DANRE	deleted		
O42140	O42140	O42140_DANRE	Netrin-1	ntn2 net2 zgc:136732 ntn1a	GO:0001525; GO:0001569; GO:0001944; GO:0001947; GO:0003146; GO:0005576; GO:0005604; GO:0008045; GO:0009887; GO:0009888; GO:0016358; GO:0016525; GO:0021952; GO:0021960; GO:0030516; GO:0030878; GO:0033564; GO:0035908; GO:0048665; GO:0048846; GO:0061386; GO:0061626; GO:0071678
A0A0R4IVA1	A0A0R4IVA1	A0A0R4IVA1_DANRE	von Willebrand factor D and EGF domains (von Willebrand factor D and EGF domains precursor)	seraf zgc:153112 vwde	GO:0001568; GO:0005576; GO:0007368; GO:0007507; GO:0009952; GO:0009986; GO:0038092; GO:0038100; GO:0070697
Q504K7	Q6YBR5	NGF_DANRE	Nerve growth factor (NGF) (zNGF)	ngf ngfb	GO:0005163; GO:0005615; GO:0007169; GO:0007422; GO:0007613; GO:0008021; GO:0008083; GO:0021675; GO:0030424; GO:0030425; GO:0033138; GO:0038180; GO:0043524; GO:0045664; GO:0048672; GO:0048812; GO:0050804
Q6YBR5	Q6YBR5	NGF_DANRE	Nerve growth factor (NGF) (zNGF)	ngf ngfb	GO:0005163; GO:0005615; GO:0007169; GO:0007422; GO:0007613; GO:0008021; GO:0008083; GO:0021675; GO:0030424; GO:0030425; GO:0033138; GO:0038180; GO:0043524; GO:0045664; GO:0048672; GO:0048812; GO:0050804
F1QUK5	F1QUK5	F1QUK5_DANRE	Netrin-1	net1 ntn1 ntn1b	GO:0005576; GO:0005604; GO:0008045; GO:0009887; GO:0009888; GO:0016358; GO:0021952; GO:0021960; GO:0030516; GO:0071678
B8A473	B8A473	B8A473_DANRE	deleted		
B8A663	Q6IQE5	GET3_DANRE	ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase)	get3 asna1 si:dkey-121b10.2 zgc:86799	GO:0005524; GO:0006620; GO:0007416; GO:0016887; GO:0043529; GO:0045048; GO:0046872
F1R3Y3	F1R3Y3	F1R3Y3_DANRE	Golgi to ER traffic protein 4 homolog (Guided entry of tail-anchored proteins factor 4)	cee fd15h01 wu:fd15h01 get4	GO:0005829; GO:0045048; GO:0071818
Q6IQE5	Q6IQE5	GET3_DANRE	ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase)	get3 asna1 si:dkey-121b10.2 zgc:86799	GO:0005524; GO:0006620; GO:0007416; GO:0016887; GO:0043529; GO:0045048; GO:0046872
Q52WZ2	Q6DHM9	RHOAB_DANRE	Rho-related GTP-binding protein RhoA-B	rhoab zgc:153713	GO:0003924; GO:0005525; GO:0005829; GO:0005886; GO:0007266; GO:0016055; GO:0016477; GO:0019901; GO:0032154; GO:0032956; GO:0035023; GO:0036342; GO:0040001; GO:0042074; GO:0043066; GO:0043149; GO:0043197; GO:0044319; GO:0048840; GO:1902766
Q19VG7	Q19VG7	Q19VG7_DANRE	deleted		
Q6DHM9	Q6DHM9	RHOAB_DANRE	Rho-related GTP-binding protein RhoA-B	rhoab zgc:153713	GO:0003924; GO:0005525; GO:0005829; GO:0005886; GO:0007266; GO:0016055; GO:0016477; GO:0019901; GO:0032154; GO:0032956; GO:0035023; GO:0036342; GO:0040001; GO:0042074; GO:0043066; GO:0043149; GO:0043197; GO:0044319; GO:0048840; GO:1902766
Q9DDG2	Q9DDG2	Q9DDG2_DANRE	Midkine b (Midkine b precursor) (Midkine-related growth factor Mdk2)	mdk2 cb518 fb79b05 fj33b02 fj48a12 mdk plei2 wu:fb79b05 wu:fj33b02 wu:fj48a12 mdkb	GO:0005576; GO:0007399; GO:0007420; GO:0008083; GO:0008201; GO:0014029; GO:0045666; GO:0051781
A0A0R4IXT8	A0A0R4IXT8	A0A0R4IXT8_DANRE	deleted		
Q9IAT6	Q9IAT6	DLLC_DANRE	Delta-like protein C (DeltaC) (delC)	dlc	GO:0001756; GO:0001757; GO:0002244; GO:0005112; GO:0005509; GO:0005737; GO:0005886; GO:0007219; GO:0021514; GO:0030165; GO:0035907; GO:0042802; GO:0045746; GO:0048471; GO:0048514; GO:0048666; GO:0060218; GO:0060842; GO:0061056
A4ZNR5	A4ZNR5	NKD2L_DANRE	Protein naked cuticle homolog 2-like (Naked-2-like) (Protein naked cuticle homolog 2-B) (Naked-2B)	nkd2l nkd2b	GO:0005509; GO:0005737; GO:0005886; GO:0016055; GO:0030178
F1QNA4	F1QNA4	F1QNA4_DANRE	Dishevelled segment polarity protein 1b (Segment polarity protein dishevelled homolog DVL-1 isoform X2)	dvl1 dvl2l dvl1b	GO:0005109; GO:0005829; GO:0035556; GO:0060070; GO:0090179
O93578	Q5TZ66	SN25A_DANRE	Synaptosomal-associated protein 25-A (SNAP-25A) (Synaptosome-associated protein 25.1) (SNAP-25.1)	snap25a Snap snap25.1 si:dkeyp-8f4.6	GO:0000281; GO:0005249; GO:0005484; GO:0005737; GO:0005886; GO:0006887; GO:0007626; GO:0016020; GO:0016082; GO:0017075; GO:0031201; GO:0031629; GO:0043005; GO:0070032; GO:0098793
Q5XJX1	Q5XJX1	SEGN_DANRE	Secretagogin	scgn zgc:100843	GO:0005509; GO:0005634; GO:0005829; GO:0007420; GO:0021522; GO:0030425; GO:0043195; GO:0045202; GO:0099509; GO:1900271
Q5TZ65	Q5TZ66	SN25A_DANRE	Synaptosomal-associated protein 25-A (SNAP-25A) (Synaptosome-associated protein 25.1) (SNAP-25.1)	snap25a Snap snap25.1 si:dkeyp-8f4.6	GO:0000281; GO:0005249; GO:0005484; GO:0005737; GO:0005886; GO:0006887; GO:0007626; GO:0016020; GO:0016082; GO:0017075; GO:0031201; GO:0031629; GO:0043005; GO:0070032; GO:0098793
Q5TZ66	Q5TZ66	SN25A_DANRE	Synaptosomal-associated protein 25-A (SNAP-25A) (Synaptosome-associated protein 25.1) (SNAP-25.1)	snap25a Snap snap25.1 si:dkeyp-8f4.6	GO:0000281; GO:0005249; GO:0005484; GO:0005737; GO:0005886; GO:0006887; GO:0007626; GO:0016020; GO:0016082; GO:0017075; GO:0031201; GO:0031629; GO:0043005; GO:0070032; GO:0098793
Q6P3L7	Q5TZ66	SN25A_DANRE	Synaptosomal-associated protein 25-A (SNAP-25A) (Synaptosome-associated protein 25.1) (SNAP-25.1)	snap25a Snap snap25.1 si:dkeyp-8f4.6	GO:0000281; GO:0005249; GO:0005484; GO:0005737; GO:0005886; GO:0006887; GO:0007626; GO:0016020; GO:0016082; GO:0017075; GO:0031201; GO:0031629; GO:0043005; GO:0070032; GO:0098793
F1Q816	F1Q816	F1Q816_DANRE	Carbonic anhydrase (EC 4.2.1.1)	zgc:158584 ca15a	GO:0004089; GO:0005886; GO:0006730; GO:0006814; GO:0006885; GO:0008270; GO:0009897; GO:0098719
A3KPJ8	A3KPJ8	A3KPJ8_DANRE	deleted		
F1QB54	F1QB54	PABPA_DANRE	Polyadenylate-binding protein 1A (PABP-1A) (Poly(A)-binding protein 1A)	pabpc1a	GO:0003730; GO:0005634; GO:0005829; GO:0006397; GO:0006412; GO:0006417; GO:0007507; GO:0008143; GO:0008266; GO:0010494; GO:1990904
Q499B6	F1QB54	PABPA_DANRE	Polyadenylate-binding protein 1A (PABP-1A) (Poly(A)-binding protein 1A)	pabpc1a	GO:0003730; GO:0005634; GO:0005829; GO:0006397; GO:0006412; GO:0006417; GO:0007507; GO:0008143; GO:0008266; GO:0010494; GO:1990904
Q6P5M4	F1QB54	PABPA_DANRE	Polyadenylate-binding protein 1A (PABP-1A) (Poly(A)-binding protein 1A)	pabpc1a	GO:0003730; GO:0005634; GO:0005829; GO:0006397; GO:0006412; GO:0006417; GO:0007507; GO:0008143; GO:0008266; GO:0010494; GO:1990904
E9QJ12	E9QJ12	E9QJ12_DANRE	deleted		
A4JYK5	A4JYK5	A4JYK5_DANRE	deleted		
F6P2P3	F6P2P3	F6P2P3_DANRE	deleted		
F1QM97	F1QM97	F1QM97_DANRE	deleted		
Q673G9	Q6QZN6	DACT1_DANRE	Dapper homolog 1 (Frodo 1)	dact1 dpr1 frd1	GO:0005737; GO:0016055; GO:0046329; GO:0090090; GO:2000095
Q6QZN6	Q6QZN6	DACT1_DANRE	Dapper homolog 1 (Frodo 1)	dact1 dpr1 frd1	GO:0005737; GO:0016055; GO:0046329; GO:0090090; GO:2000095
A0JPE4	Q673G8	DACT2_DANRE	Dapper homolog 2 (Frodo 2)	dact2 dpr2 frd2 zgc:152832	GO:0005634; GO:0005737; GO:0005770; GO:0005886; GO:0016055; GO:0048332; GO:1900108
Q5YFS6	Q673G8	DACT2_DANRE	Dapper homolog 2 (Frodo 2)	dact2 dpr2 frd2 zgc:152832	GO:0005634; GO:0005737; GO:0005770; GO:0005886; GO:0016055; GO:0048332; GO:1900108
Q673G8	Q673G8	DACT2_DANRE	Dapper homolog 2 (Frodo 2)	dact2 dpr2 frd2 zgc:152832	GO:0005634; GO:0005737; GO:0005770; GO:0005886; GO:0016055; GO:0048332; GO:1900108
Q800W5	Q673G8	DACT2_DANRE	Dapper homolog 2 (Frodo 2)	dact2 dpr2 frd2 zgc:152832	GO:0005634; GO:0005737; GO:0005770; GO:0005886; GO:0016055; GO:0048332; GO:1900108
Q803M8	Q803M8	Q803M8_DANRE	14-3-3 protein theta	ywhaz wu:fa91b01 wu:fb02e12 wu:fb36f06 wu:fk86h02 ywhaq1 zgc:55499 ywhaqb	GO:0004497; GO:0005737; GO:0007165
A2CF10	A2CF10	A2CF10_DANRE	deleted		
Q8JFU3	Q8JFU3	Q8JFU3_DANRE	Muscle, skeletal receptor tyrosine-protein kinase isoform 3 precursor (EC 2.7.10.1) (Muscle, skeletal, receptor tyrosine kinase) (Novel protein)	fj98e12 si:busm1-57f23.3 si:dz46m7.2 si:dz57f23.3 unp wu:fj98e12 zgc:63467 musk dZ57F23.3-001	GO:0004714; GO:0007169; GO:0007411; GO:0008045; GO:0010976; GO:0014068; GO:0016310; GO:0017147; GO:0030517; GO:0033674; GO:0042802; GO:0043113; GO:0043235; GO:0045211; GO:0051124; GO:0071340
B0S5X0	B0S5X0	B0S5X0_DANRE	Epiphycan (Epiphycan isoform 1 precursor) (Epiphycan isoform X1)	dspg3 im:6901189 si:dkeyp-38g8.4 wu:fb48c08 zgc:110596 epyc	GO:0031012; GO:0060348; GO:0061975
Q5RI45	Q5RI45	Q5RI45_DANRE	deleted		
F1Q7R2	F1Q7R2	F1Q7R2_DANRE	deleted		
